Name,RA_deg,Dec_deg,Vmag,BV
Sirius,101.287,-16.716,-1.46,0.009
Canopus,95.988,-52.696,-0.74,0.164
Arcturus,213.915,19.182,-0.05,1.239
Vega,279.235,38.784,0.03,0.000
Capella,79.172,45.998,0.08,0.795
Rigel,78.634,-8.202,0.13,-0.03
Procyon,114.826,5.225,0.34,0.432
Betelgeuse,88.793,7.407,0.42,1.850
Achernar,24.429,-57.237,0.46,-0.158
Hadar,210.956,-60.373,0.61,-0.231
Altair,297.696,8.868,0.76,0.221
Acrux,186.650,-63.099,0.76,-0.264
Aldebaran,68.980,16.510,0.86,1.538
Antares,247.352,-26.432,0.96,1.830
Spica,201.298,-11.161,0.97,-0.235
Pollux,116.329,28.026,1.14,0.991
Fomalhaut,344.413,-29.622,1.16,0.145
Deneb,310.358,45.280,1.25,0.092
Mimosa,191.930,-59.689,1.25,-0.238
Regulus,152.093,11.967,1.35,-0.114
Polaris,37.954,89.264,1.98,0.636
