HIP,RA_deg,Dec_deg,Vmag,BV
1,0.00091185,1.08901332,9.1000,0.4820
2,0.00379737,-19.49883745,9.2700,0.9990
3,0.00500795,38.85928608,6.6100,-0.0190
4,0.00838170,-51.89354612,8.0600,0.3700
5,0.00996534,-40.59122440,8.5500,0.9020
6,0.01814144,3.94648893,12.3100,1.3360
7,0.02254891,20.03660216,9.6400,0.7400
8,0.02729160,25.88647445,9.0500,1.1020
9,0.03534189,36.58593777,8.5900,1.0670
10,0.03625309,-50.86707360,8.5900,0.4890
11,0.03729695,46.94000154,7.3400,0.0810
12,0.04091756,-35.96022482,8.4300,1.4840
13,0.04167970,-22.59468060,8.8000,1.1280
14,0.04827189,-0.36042119,7.2500,1.2000
15,0.05030890,50.79117384,8.6000,1.1660
17,0.05109957,-40.19232842,8.1500,0.4250
16,0.05140852,-54.91412819,11.7100,0.4210
18,0.05313923,-4.05373813,11.0300,1.5670
19,0.05331696,38.30408636,6.5300,0.9550
20,0.06295050,23.52928397,8.5100,0.5160
21,0.06623569,8.00723437,7.5500,1.4380
22,0.07013593,-49.35226686,8.6900,0.9620
23,0.07442930,13.31221083,7.5700,0.4560
24,0.07604979,-23.45274913,9.0500,0.5280
25,0.07936537,-44.29029741,6.2800,0.7630
26,0.08434579,-13.39329686,9.1300,0.5350
27,0.08546976,-41.29753696,9.3200,0.6710
28,0.08724871,-43.36179962,8.8300,0.4680
29,0.09213106,-49.10795505,9.1400,1.0410
30,0.09613563,42.14149882,8.2600,0.1420
31,0.09809390,2.67547768,7.6300,1.4530
32,0.09858375,51.93949050,9.0900,0.0400
33,0.09918083,-10.46245445,8.1000,0.4660
34,0.09946973,26.91823821,6.4300,0.5140
35,0.10256052,-14.49048072,9.0700,0.9160
36,0.10327550,12.26709303,7.6800,1.1500
37,0.10535190,-47.17958382,10.4400,0.3910
38,0.11104694,-79.06183133,8.6500,0.7780
39,0.11186148,-16.69693020,7.4600,0.4750
41,0.11656351,54.30223774,8.7000,0.0260
40,0.12196971,67.21679125,10.6100,0.5700
42,0.12538666,25.84478059,8.2000,0.3870
43,0.12908900,59.55973786,6.1800,1.0320
44,0.13272230,-3.30636174,7.9100,1.1040
46,0.13454429,-25.62225277,8.5700,1.0350
47,0.13519236,-56.83524773,10.7800,1.1500
48,0.13522264,-40.69044664,7.3100,1.1640
49,0.13950066,16.66903183,9.5300,0.4500
50,0.14287059,-53.09766277,6.4900,0.6160
51,0.14339044,1.06619726,8.9400,0.9060
52,0.14665879,-77.02014050,8.5600,0.1960
54,0.15165558,17.96895579,10.5700,1.0300
55,0.15783323,-66.68310336,7.4000,0.5510
56,0.16283175,0.22293899,8.1200,1.3290
57,0.16828557,-69.67580068,8.2700,0.8630
58,0.17376341,62.17600484,7.0500,0.5200
59,0.17444749,55.72246267,9.0900,0.0910
60,0.17542318,-64.46582516,8.3400,0.3860
61,0.17615726,53.82218625,8.8600,1.0810
62,0.17996123,-45.42272731,8.2700,0.9940
63,0.18174950,45.25333305,6.3600,-0.0470
64,0.18458893,-27.90754614,8.0800,1.1560
65,0.18797532,-54.83034057,11.0000,1.1470
66,0.18854917,-72.31824913,8.5500,0.4010
67,0.19910132,23.53824873,7.8300,0.4950
68,0.20063628,16.98896499,8.7900,0.9400
69,0.20137175,30.39589283,8.3300,0.1350
70,0.20280014,36.77763945,10.4200,0.7060
71,0.20709981,36.78015328,8.2600,0.8460
72,0.21946989,-12.82867015,8.9700,0.6710
73,0.22045719,66.84796687,6.9000,1.4460
74,0.22187281,35.75272213,9.9300,1.0680
75,0.22316216,-50.44646500,7.4200,1.5240
76,0.22821959,32.82567452,9.0300,1.6700
77,0.23052169,-30.06417333,8.4100,0.0220
78,0.23231307,17.86784193,8.0600,1.2030
79,0.23572286,35.31675386,8.6900,0.5290
80,0.24179216,-11.82353722,8.4000,0.5660
81,0.24386443,-4.93211471,8.5700,0.6420
82,0.24803173,-10.93580540,9.5000,1.1070
83,0.24808100,52.08056444,8.8500,1.7260
84,0.25180722,27.88634368,9.6100,0.8520
85,0.25600730,-24.71404902,10.6200,0.3590
86,0.26038262,69.60349830,8.0500,0.0180
87,0.26151556,-5.83497569,7.8000,0.4300
88,0.26915958,-48.80985919,5.7100,0.9110
89,0.27715178,53.16694253,7.8700,1.5660
90,0.27999988,-41.88742972,7.6400,0.5000
91,0.28056847,-5.87433293,7.6600,1.3000
92,0.29062512,-20.70558648,8.6800,0.9440
93,0.29222255,-0.07592034,8.1200,0.6190
94,0.29485302,-32.75680569,10.1000,0.6440
95,0.30203883,-11.96400015,8.6700,0.5130
96,0.30489357,13.97474826,10.4600,1.3600
98,0.30717811,-52.79857954,9.8700,0.5510
97,0.30733362,-21.40404527,9.4800,0.5300
99,0.31601620,60.35529798,7.0400,2.8350
100,0.31645128,19.74131648,8.4400,0.8980
101,0.31976150,-47.79382994,9.8800,0.5090
102,0.32043200,-41.48735570,7.0500,1.5500
103,0.32214393,-68.37102958,8.2900,0.5380
104,0.32673657,-31.89961642,9.3400,0.5430
105,0.32784438,70.92895780,7.7300,0.4550
106,0.33016464,49.98158501,6.2200,0.9700
107,0.33380226,-50.33739907,5.5300,1.6150
108,0.33655323,-70.12530771,8.5300,1.3150
109,0.34660201,6.79149102,7.2300,0.3880
110,0.34870816,39.61081788,8.6100,0.7870
111,0.34908697,34.28185977,11.2800,1.3080
112,0.35691658,-16.94782618,10.7600,1.3840
113,0.36562073,49.01041081,8.9300,0.0210
114,0.37167609,30.73587929,7.9500,0.6540
115,0.37259669,-62.92315760,7.4600,0.1600
116,0.37539303,-33.79270439,8.6000,0.4350
117,0.38040810,-72.60590348,8.5500,1.0930
118,0.38648579,-9.43003605,9.2000,0.6060
119,0.39020229,44.67544581,6.8200,1.0710
120,0.39598898,-45.34468907,8.2900,1.1830
121,0.39647681,28.42377416,6.8300,1.1970
122,0.39937928,-77.06529438,4.7800,1.2540
123,0.40024110,72.23660619,7.2100,1.1690
124,0.40424537,61.22280406,5.5800,0.4070
125,0.40473165,-39.33667992,8.7000,0.3660
126,0.40873313,14.63230674,8.0600,0.9690
127,0.41208753,-48.93516169,10.8600,0.9420
128,0.41376473,73.61187664,6.5000,0.1820
129,0.41560234,5.37275092,9.3200,0.5590
130,0.41825279,-30.69250699,9.1400,1.0800
131,0.41994220,62.01815066,8.1300,0.2000
132,0.42200516,-34.65350786,10.6200,0.3580
133,0.42336890,-40.14866597,6.6200,0.5450
134,0.42514055,-1.13997217,9.9600,0.2640
135,0.42674592,-0.21749947,8.6400,0.6200
136,0.42864226,24.25318080,6.6000,1.1530
137,0.43268925,42.36714821,6.2500,-0.0420
138,0.43720393,-16.53172119,7.8300,1.0740
139,0.44529240,67.50697620,10.0300,1.2890
140,0.45267471,-68.10481108,9.0400,0.5460
141,0.45342986,36.35034560,8.4700,1.3500
142,0.45374866,66.30600204,7.3300,0.7300
