Designation,Name,RA_deg,Dec_deg,Vmag,Size_arcmin,Type
M1,Crab Nebula,83.633,22.014,8.4,6.0,SupernovaRemnant
M2,Aquarius Globular,323.363,-0.823,6.5,16.0,GlobularCluster
M3,Canes Venatici Globular,205.548,28.377,6.2,18.0,GlobularCluster
M4,Scorpius Globular,245.897,-26.526,5.6,36.0,GlobularCluster
M5,Serpens Globular,229.638,2.081,5.6,23.0,GlobularCluster
M6,Butterfly Cluster,265.083,-32.217,4.2,33.0,OpenCluster
M7,Ptolemy Cluster,268.466,-34.793,3.3,80.0,OpenCluster
M8,Lagoon Nebula,270.924,-24.386,6.0,90.0,Nebula
M9,Ophiuchus Globular,259.800,-18.516,7.7,12.0,GlobularCluster
M10,Ophiuchus Globular,254.288,-4.100,6.6,20.0,GlobularCluster
M11,Wild Duck Cluster,282.767,-6.267,6.3,14.0,OpenCluster
M12,Ophiuchus Globular,251.809,-1.949,6.7,16.0,GlobularCluster
M13,Hercules Cluster,250.423,36.461,5.8,20.0,GlobularCluster
M14,Ophiuchus Globular,264.400,-3.245,7.6,11.0,GlobularCluster
M15,Pegasus Globular,322.493,12.167,6.2,18.0,GlobularCluster
M16,Eagle Nebula,274.700,-13.807,6.0,7.0,Nebula
M17,Omega Nebula,275.196,-16.172,6.0,11.0,Nebula
M18,Sagittarius Cluster,274.294,-17.120,7.5,9.0,OpenCluster
M19,Ophiuchus Globular,255.657,-26.268,6.8,17.0,GlobularCluster
M20,Trifid Nebula,270.622,-23.029,6.3,28.0,Nebula
M21,Sagittarius Cluster,271.046,-22.492,6.5,13.0,OpenCluster
M22,Sagittarius Globular,279.100,-23.905,5.1,32.0,GlobularCluster
M23,Sagittarius Cluster,269.267,-19.017,6.9,27.0,OpenCluster
M24,Sagittarius Star Cloud,274.526,-18.517,4.6,90.0,OpenCluster
M25,Sagittarius Cluster,277.797,-19.117,4.6,40.0,OpenCluster
M26,Scutum Cluster,281.312,-9.384,8.0,15.0,OpenCluster
M27,Dumbbell Nebula,299.902,22.721,7.5,8.0,Nebula
M28,Sagittarius Globular,276.137,-24.870,6.8,11.0,GlobularCluster
M29,Cygnus Cluster,305.967,38.517,7.1,7.0,OpenCluster
M30,Capricornus Globular,325.092,-23.180,7.2,12.0,GlobularCluster
