HIP,Name,Bayer,Constellation,SpectralType
32349,Sirius,Alpha CMa,CMa,A1V
30438,Canopus,Alpha Car,Car,F0II
69673,Arcturus,Alpha Boo,Boo,K1.5III
71683,Rigil Kentaurus,Alpha Cen,Cen,G2V
91262,Vega,Alpha Lyr,Lyr,A0V
24436,Capella,Alpha Aur,Aur,G8III
24608,Rigel,Beta Ori,Ori,B8Ia
37279,Procyon,Alpha CMi,CMi,F5IV-V
7588,Achernar,Alpha Eri,Eri,B3Vpe
27989,Betelgeuse,Alpha Ori,Ori,M2Iab
68702,Hadar,Beta Cen,Cen,B1III
97649,Altair,Alpha Aql,Aql,A7V
21421,Aldebaran,Alpha Tau,Tau,K5III
60718,Acrux,Alpha Cru,Cru,B0.5IV
65474,Spica,Alpha Vir,Vir,B1III-IV
80763,Antares,Alpha Sco,Sco,M1.5Iab
15863,Pollux,Beta Gem,Gem,K0III
37826,Pollux,Beta Gem,Gem,K0III
9884,Fomalhaut,Alpha PsA,PsA,A3V
113368,Fomalhaut,Alpha PsA,PsA,A3V
62434,Mimosa,Beta Cru,Cru,B0.5III
30324,Adhara,Epsilon CMa,CMa,B2II
26311,Bellatrix,Gamma Ori,Ori,B2III
113963,Scheat,Beta Peg,Peg,M2.5II-III
746,Alpheratz,Alpha And,And,B9p
25336,Elnath,Beta Tau,Tau,B7III
25930,Mintaka,Delta Ori,Ori,O9.5II
26727,Alnilam,Epsilon Ori,Ori,B0Ia
25428,Saiph,Kappa Ori,Ori,B0.5Ia
26221,Alnitak,Zeta Ori,Ori,O9.7Ib
677,Algenib,Gamma Peg,Peg,B2IV
15338,Mirfak,Alpha Per,Per,F5Ib
5447,Mirach,Beta And,And,M0IIIa
3419,Almach,Gamma And,And,K3II
11767,Polaris,Alpha UMi,UMi,F7Ib-II
54061,Alioth,Epsilon UMa,UMa,A1III-IVp
62956,Mizar,Zeta UMa,UMa,A2Vp
65378,Mizar,Zeta UMa,UMa,A2Vp
67301,Alkaid,Eta UMa,UMa,B3V
53910,Merak,Beta UMa,UMa,A1V
59774,Phad,Gamma UMa,UMa,A0V
58001,Dubhe,Alpha UMa,UMa,K0III
49669,Megrez,Delta UMa,UMa,A3V
36850,Castor,Alpha Gem,Gem,A2Vm
34444,Alhena,Gamma Gem,Gem,A1IV
57632,Denebola,Beta Leo,Leo,A3V
49583,Algieba,Gamma Leo,Leo,K1III
32362,Wezen,Delta CMa,CMa,F8Ia
33579,Aludra,Eta CMa,CMa,B5Ia
44816,Alphard,Alpha Hya,Hya,K3II-III
72622,Kochab,Beta UMi,UMi,K4III
86032,Rasalhague,Alpha Oph,Oph,A5III
84012,Sabik,Eta Oph,Oph,A2.5V
85927,Shaula,Lambda Sco,Sco,B2IV
87073,Sargas,Theta Sco,Sco,F1III
78820,Kaus Australis,Epsilon Sgr,Sgr,B9.5III
90185,Nunki,Sigma Sgr,Sgr,B2.5V
102098,Deneb,Alpha Cyg,Cyg,A2Ia
107315,Enif,Epsilon Peg,Peg,K2Ib
112122,Markab,Alpha Peg,Peg,B9III
100751,Alderamin,Alpha Cep,Cep,A7IV-V
17702,Algol,Beta Per,Per,B8V
14576,Menkar,Alpha Cet,Cet,M1.5III
8903,Diphda,Beta Cet,Cet,K0III
100453,Sadr,Gamma Cyg,Cyg,F8Ib
95947,Peacock,Alpha Pav,Pav,B2IV
82273,Eltanin,Gamma Dra,Dra,K5III
87833,Etamin,Gamma Dra,Dra,K5III
3179,Ankaa,Alpha Phe,Phe,K0III
109268,Alnair,Alpha Gru,Gru,B7IV
2081,Schedar,Alpha Cas,Cas,K0IIIa
3821,Tsih,Gamma Cas,Cas,B0.5IVe
8886,Ruchbah,Delta Cas,Cas,A5III-IV
6686,Caph,Beta Cas,Cas,F2III
